Singer initial chaos = random

1026,5462556409,10
1017,719706488,20
1014,3340403501,30
1013,2462647694,40
1012,7379075232,50
1012,2019413234,60
1011,5969831084,70
1011,6481395548,80
1011,0839581736,90
1011,2656934524,100

Sine initial chaos = random
1033,312983832,10
1021,4795941326,20
1016,5718082806,30
1015,0357089147,40
1014,12737825,50
1013,8559700433,60
1013,5461206234,70
1013,0806054397,80
1012,2578570837,90
1012,5135208531,100

r1 singer, r2 sine initial chaos = random UCP
1026,4247616228
1016,9031006235
1015,356995384
1013,7317440087
1013,3912382679
1012,5487355058
1011,7516444276
1011,5851078005
1011,6377607829
1011,2526263653

cocomo
293.70880882318,10
224.86858818995,20
191.12985529106,30
173.57876417349,40
165.21237636646,50
153.70209823617,60
148.50908368378,70
141.14501123349,80
141.86362048692,90
131.64220727368,100

Agile
35.578960660084,10
37.289305116725,20
28.624602233767,30
30.99213027426,40
35.29362238602,50
25.295702453641,60
22.759422786694,70
17.969237846916,80
18.384049165301,90
25.836944972313,100

Convergence Cocomo 40

624.41182795699,1
129.25576428097,2
131.42512786458,3
129.10160939391,4
133.67130947102,5
136.28201078264,6
136.34525911935,7
132.70926696114,8
129.77520443965,9
133.03594898328,10
128.88585647598,11
128.80947924279,12
131.99683218547,13
131.17381967397,14
137.40814117578,15
131.54811762863,16
133.44074431237,17
134.18752841379,18
133.96475532129,19
135.90805248025,20
133.90309182308,21
133.86167712739,22
136.2711631129,23
135.05531761498,24
132.5434098081,25
131.93200306218,26
133.52377065591,27
137.03624218613,28
137.21522947583,29
133.29544999111,30
134.31128852129,31
137.67421308044,32
129.73641753043,33
127.7079774986,34
135.45031600666,35
135.59622308988,36
129.90153803697,37
132.90032166545,38
133.74962856492,39
135.96589790581,40

Convergence Agile
54.710065578464,1
40.813085236829,2
25.240898912955,3
29.365998899654,4
24.018449643339,5
21.112227467175,6
23.1225910514,7
25.121369122954,8
16.73656601176,9
28.192557287182,10
24.02854549726,11
21.709785376768,12
19.653692095799,13
17.143924633638,14
25.02556759242,15
25.983888980969,16
20.801134944712,17
27.209345871408,18
24.093618648526,19
20.646465602007,20
20.808966387315,21
30.730434556816,22
19.795320734812,23
26.556385292353,24
23.677561764997,25
20.624717447406,26
30.08479784767,27
22.564605938212,28
21.724257754251,29
21.799716851293,30
19.550949559298,31
21.144448073174,32
22.44130795342,33
29.950971644115,34
26.703017566778,35
22.083565467904,36
25.787954283885,37
19.378732284843,38
22.8369300927,39
22.365707642188,40

preliminary tharwat ucp 100
1012.7009202526,100
1012.6935601016,100
1012.7093903692,100
1012.7116905124,100
1012.7152896953,100
1012.652206761,100
1012.7401671913,100
1012.7229175646,100
1012.6992603013,100
1012.7449317614,100
1012.5982217136,100
1012.6508738234,100
1012.6953513038,100
1012.7231527214,100
1012.7024759201,100
1012.6847484117,100
1012.7494186681,100
1012.6627695572,100
1012.7806073022,100
1012.740699656,100
1012.8169917358,100
1012.7561414655,100
1012.8010680375,100
1012.6988708959,100
1012.6749526698,100
1012.7173398034,100
